kladr_code;tpi;fo;fo_tpi
91000004;Республика Крым - Прочие;Южный ФО;Южный ФО: Республика Крым - Прочие
91000003;Республика Крым - Прочие;Южный ФО;Южный ФО: Республика Крым - Прочие
12000000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12008000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12011000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12006000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12015000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12000003;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12014000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12009000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12002000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12005000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12010000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12004001;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12004000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12012000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12013000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12003000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
12007000;Республика Марий Эл - Прочие;Приволжский ФО;Приволжский ФО: Республика Марий Эл - Прочие
13014000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13000000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13015001;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13015000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13003000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13010001;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13013000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13011000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13000002;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13023000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13006000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13009000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13022000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13012000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13008000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13017000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13005000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13020001;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13002000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13021000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13002001;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13016000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13007000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13019000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13010000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13018000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13004000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
13020000;Республика Мордовия - Прочие;Приволжский ФО;Приволжский ФО: Республика Мордовия - Прочие
14010000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14017001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14027000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14003000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14000000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14023001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14004000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14015001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14003001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14015000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14021000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14011000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14029000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14011001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14019000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14030000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14032001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14012000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14021001;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14016000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14017002;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14008000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14017000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14005000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14023000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14018000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14028000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14032000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14003002;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14006000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14026000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14022000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14014000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14020000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14033000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
14013000;Республика Саха (Якутия) - Прочие;Дальневосточный ФО;Дальневосточный ФО: Республика Саха (Якутия) - Прочие
15007001;Республика Северная Осетия - Алания - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Северная Осетия - Алания - Прочие
15007000;Республика Северная Осетия - Алания - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Северная Осетия - Алания - Прочие
15002000;Республика Северная Осетия - Алания - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Северная Осетия - Алания - Прочие
15000000;Республика Северная Осетия - Алания - Прочие;Северо-Кавказский ФО;Северо-Кавказский ФО: Республика Северная Осетия - Алания - Прочие
